<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body><font class="Normal"><b>0 - 26806</b> résultats <font class="Normal">sur un total de <b>26806</b> mots correspondant à votre requête</font><br><br> <pre>ortho	lemme	freqlivres	freqlemfilms2	orthosyll	
vierge	vierge	21.82	26.03	vier-ge	
nerveux	nerveux	21.82	50.40	ner-veux	
ivre	ivre	21.76	18.32	i-vre	
sourde	sourd	21.76	25.69	sour-de	
stupide	stupide	21.76	71.75	s-tu-pi-de	
suprême	suprême	21.76	15.26	su-prê-me	
lente	lent	21.55	16.41	len-te	
semblables	semblable	21.49	8.93	sem-bla-bles	
ultime	ultime	21.49	8.56	ul-ti-me	
nues	nu	21.42	49.87	nues	
idiot	idiot	21.42	74.06	i-diot	
brun	brun	21.35	13.16	brun	
bleues	bleu	21.28	70.61	bleues	
blond	blond	21.28	21.45	blond	
catholique	catholique	21.28	13.26	ca-tho-li-que	
merveilleux	merveilleux	21.28	79.25	mer-veil-leux	
pareils	pareil	21.15	133.45	pa-reils	
fermés	fermé	21.08	21.46	fer-més	
mauvaises	mauvais	21.08	252.69	mau-vai-ses	
maigres	maigre	20.88	12.73	mai-gres	
solitaire	solitaire	20.88	13.19	so-li-tai-re	
britanniques	britannique	20.74	8.23	bri-tan-ni-ques	
central	central	20.74	18.14	cen-tral	
horrible	horrible	20.74	67.22	hor-ri-ble	
douloureux	douloureux	20.68	17.16	dou-lou-reux	
parfait	parfait	20.68	58.77	par-fait	
roux	roux	20.68	5.52	roux	
obscure	obscur	20.61	11.06	obs-cu-re	
complet	complet	20.61	29.19	com-plet	
durs	dur	20.47	187.84	durs	
sacré	sacré	20.47	56.88	sa-cré	
soviétique	soviétique	20.47	10.68	so-vié-ti-que	
étrangère	étranger	20.47	31.39	é-tran-gè-re	
brève	bref	20.41	15.63	brè-ve	
allemands	allemand	20.27	41.32	al-le-mand-s	
intense	intense	20.27	8.45	in-ten-se	
égal	égal	20.27	38.08	é-gal	
sauvages	sauvage	20.20	24.68	sau-va-ges	
coupable	coupable	20.20	50.84	cou-pa-ble	
honnête	honnête	20.20	53.89	hon-nê-te	
courtes	court	20.14	41.15	cour-tes	
évident	évident	20.14	32.59	é-vi-dent	
particulière	particulier	20.00	24.91	par-ti-cu-liè-re	
souple	souple	20.00	4.22	sou-ple	
noble	noble	20.00	28.70	no-ble	
étranges	étrange	19.93	85.61	é-tran-ges	
ordinaire	ordinaire	19.86	20.55	or-di-nai-re	
proches	proche	19.86	55.34	pro-ches	
puissant	puissant	19.86	39.99	puis-sant	
sinistre	sinistre	19.86	8.27	si-nis-tre	
éternel	éternel	19.86	30.53	é-ter-nel	
charmant	charmant	19.86	54.51	char-mant	
confus	confus	19.86	11.02	con-fus	
exact	exact	19.86	86.80	exact	
juif	juif	19.86	30.62	juif	
magique	magique	19.80	26.93	ma-gi-que	
sonore	sonore	19.80	4.17	so-no-re	
sourd	sourd	19.73	25.69	sourd	
nécessaires	nécessaire	19.66	52.00	né-ces-sai-res	
assis	assis	19.66	20.89	as-sis	
américaine	américain	19.53	63.92	a-mé-ri-cai-ne	
timide	timide	19.53	16.36	ti-mi-de	
suivante	suivant	19.46	28.81	sui-van-te	
