<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body><font class="Normal"><b>0 - 48287</b> résultats <font class="Normal">sur un total de <b>48287</b> mots correspondant à votre requête</font><br><br> <pre>ortho	lemme	freqlivres	freqlemfilms2	orthosyll	
escalier	escalier	125.95	32.29	es-ca-lier	
maître	maître	125.74	128.55	maî-tre	
contraire	contraire	125.47	62.13	con-trai-re	
sac	sac	125.47	124.60	sac	
goût	goût	124.80	57.94	goût	
accord	accord	124.66	766.20	ac-cord	
journal	journal	124.32	110.80	jour-nal	
église	église	123.58	64.75	é-gli-se	
cuisine	cuisine	123.31	87.92	cui-si-ne	
larmes	larme	122.70	45.71	lar-mes	
oncle	oncle	121.96	126.71	on-cle	
été	été	121.55	67.27	é-té	
fleurs	fleur	121.42	99.75	fleurs	
haut	haut	121.01	77.86	haut	
bas	bas	119.86	71.78	bas	
gouvernement	gouvernement	119.73	62.66	gou-ver-ne-ment	
attention	attention	119.66	158.52	at-ten-tion	
image	image	119.39	82.13	i-ma-ge	
pierre	pierre	119.39	67.17	pier-re	
exemple	exemple	119.19	93.20	exem-ple	
signe	signe	119.19	82.73	si-gne	
hasard	hasard	118.99	48.07	ha-sard	
couleur	couleur	118.65	82.25	cou-leur	
mari	mari	118.38	264.15	ma-ri	
village	village	118.24	95.82	vil-la-ge	
chien	chien	117.64	223.53	chien	
départ	départ	116.96	68.49	dé-part	
épaule	épaule	116.96	32.41	é-pau-le	
droite	droite	116.69	58.70	droi-te	
soeur	soeur	116.55	184.99	soeur	
lettres	lettre	115.14	156.77	let-tres	
dents	dent	114.53	74.20	dents	
armée	armée	114.46	101.07	ar-mée	
chance	chance	114.05	360.60	chan-ce	
maisons	maison	113.78	605.75	mai-sons	
entrée	entrée	113.72	48.08	en-trée	
rues	rue	113.45	157.81	rues	
avenir	avenir	113.18	72.61	a-ve-nir	
cou	cou	112.70	44.09	cou	
rire	rire	112.57	38.88	ri-re	
chaleur	chaleur	112.23	39.13	cha-leur	
mesure	mesure	112.16	32.15	me-su-re	
passé	passé	112.03	64.32	pas-sé	
sommeil	sommeil	112.03	44.53	som-meil	
robe	robe	111.96	84.43	ro-be	
semaine	semaine	111.89	290.85	se-mai-ne	
pluie	pluie	111.76	46.10	pluie	
tante	tante	110.95	76.62	tan-te	
voyage	voyage	110.54	123.17	voya-ge	
cheval	cheval	110.27	129.12	che-val	
musique	musique	109.80	169.80	mu-si-que	
endroit	endroit	108.65	218.24	en-droit	
mètres	mètre	108.24	43.49	mè-tres	
prix	prix	107.50	126.55	prix	
souvenir	souvenir	106.69	63.24	sou-ve-nir	
sentiment	sentiment	106.42	75.72	sen-ti-ment	
propos	propos	106.28	115.21	pro-pos	
service	service	106.28	187.67	ser-vi-ce	
fer	fer	106.28	37.08	fer	
dame	dame	106.15	111.20	da-me	
mémoire	mémoire	105.74	60.87	mé-moi-re	
genoux	genou	103.99	54.24	ge-noux	
langue	langue	103.78	69.11	lan-gue	
paix	paix	103.72	144.86	paix	
oreille	oreille	103.45	73.54	o-reil-le	
enfance	enfance	103.11	33.01	en-fan-ce	
direction	direction	103.04	45.06	di-rec-tion	
affaires	affaire	102.84	393.83	af-fai-res	
poche	poche	101.82	49.65	po-che	
foule	foule	101.62	27.81	fou-le	
ligne	ligne	101.01	89.83	li-gne	
gueule	gueule	100.14	125.22	gueu-le	
marche	marche	100.00	53.17	mar-che	
vin	vin	99.93	86.86	vin	
poitrine	poitrine	99.59	26.45	poi-tri-ne	
pain	pain	99.32	67.58	pain	
gestes	geste	99.05	40.78	ges-tes	
pensée	pensée	98.92	57.87	pen-sée	
effort	effort	98.18	42.70	ef-fort	
désir	désir	96.69	45.35	dé-si-r	
situation	situation	96.62	108.99	si-tua-tion	
paroles	parole	96.49	103.48	pa-ro-les	
hiver	hiver	96.28	38.96	hi-ver	
questions	question	95.95	411.82	ques-tions	
scène	scène	95.27	107.96	s-cè-ne	
grand-père	grand-père	95.20	75.64	grand-père	
campagne	campagne	94.73	51.12	cam-pa-gne	
boîte	boîte	94.32	88.81	boî-te	
téléphone	téléphone	93.99	160.80	té-lé-pho-ne	
existence	existence	93.85	24.98	exis-ten-ce	
patron	patron	93.85	141.53	pa-tron	
nature	nature	93.45	60.20	na-tu-re	
liberté	liberté	93.31	79.53	li-ber-té	
souffle	souffle	93.18	26.98	souf-fle	
colère	colère	92.77	68.90	co-lè-re	
noir	noir	92.57	79.75	noir	
premier	premier	92.57	145.76	pre-mier	
occasion	occasion	92.09	61.89	oc-ca-sion	
forêt	forêt	91.89	34.94	fo-rêt	
grand-mère	grand-mère	91.76	73.22	grand-mère	
confiance	confiance	91.76	162.90	con-fian-ce	
feuilles	feuille	91.69	30.10	feuil-les	
compagnie	compagnie	90.88	73.78	com-pa-gnie	
chair	chair	90.81	37.07	chair	
classe	classe	90.74	78.99	clas-se	
côte	côte	90.74	35.16	cô-te	
espoir	espoir	90.74	64.22	es-poir	
oreilles	oreille	90.68	73.54	o-reil-les	
souvenirs	souvenir	90.34	63.24	sou-ve-nirs	
arrière	arrière	90.27	52.15	ar-riè-re	
quartier	quartier	89.86	65.70	quar-tier	
garde	garde	89.86	104.47	gar-de	
petit	petit	89.53	221.75	pe-tit	
peuple	peuple	89.39	111.36	peu-ple	
poids	poids	89.05	34.42	poid-s	
rôle	rôle	88.51	69.38	rô-le	
capitaine	capitaine	88.45	152.69	ca-pi-tai-ne	
sujet	sujet	88.04	120.42	su-jet	
sable	sable	87.91	25.23	sa-ble	
dimanche	dimanche	87.84	63.98	di-man-che	
beauté	beauté	87.64	72.56	beau-té	
honneur	honneur	87.64	130.69	hon-neur	
idées	idée	87.36	389.77	i-dées	
veille	veille	87.36	17.07	veil-le	
rapport	rapport	87.23	140.08	rap-port	
phrase	phrase	86.76	22.01	ph-ra-se	
pouvoir	pouvoir	86.49	117.87	pou-voir	
chaise	chaise	86.35	40.02	chai-se	
herbe	herbe	86.08	34.81	her-be	
grand	grand	86.01	92.25	grand	
appartement	appartement	86.01	76.33	ap-par-te-ment	
roi	roi	85.95	177.53	roi	
groupe	groupe	85.88	104.38	grou-pe	
semaines	semaine	85.61	290.85	se-mai-nes	
salon	salon	84.12	39.24	sa-lon	
conversation	conversation	84.12	42.17	con-ver-sa-tion	
cris	cri	83.85	45.58	cris	
tas	tas	83.78	65.28	tas	
réponse	réponse	83.72	97.06	ré-pon-se	
île	île	83.58	58.35	î-le	
jeunesse	jeunesse	83.24	28.71	jeu-nes-se	
docteur	docteur	83.11	233.86	doc-teur	
gorge	gorge	82.64	30.87	gor-ge	
honte	honte	82.64	103.40	hon-te	
pièces	pièce	82.57	151.10	piè-ces	
soldats	soldat	82.50	107.92	sol-dats	
parole	parole	81.82	103.48	pa-ro-le	
police	police	81.69	276.21	po-li-ce	
vacances	vacance	81.69	67.90	va-can-ces	
art	art	81.49	72.79	art	
toile	toile	81.35	17.99	toi-le	
faute	faute	81.08	169.26	fau-te	
fenêtres	fenêtre	80.81	90.55	fe-nê-tres	
visite	visite	80.61	99.95	vi-si-te	
portes	porte	80.47	333.85	por-tes	
couloir	couloir	80.47	29.17	cou-loir	
doigt	doigt	80.34	85.69	doigt	
rêve	rêve	80.20	158.75	rê-ve	
conscience	conscience	80.07	45.53	cons-cien-ce	
couleurs	couleur	80.07	82.25	cou-leurs	
centre	centre	80.00	57.00	cen-tre	
ennemi	ennemi	79.19	92.37	en-ne-mi	
siècle	siècle	79.05	45.77	siè-cle	
gare	gare	78.58	42.15	ga-re	
espace	espace	78.58	43.87	es-pa-ce	
francs	franc	78.11	17.64	francs	
arrivée	arrivée	77.84	42.66	ar-ri-vée	
douleur	douleur	77.84	75.89	dou-leur	
figure	figure	77.70	25.18	fi-gu-re	
avance	avance	77.64	69.25	a-van-ce	
cigarette	cigarette	77.57	65.57	ci-ga-ret-te	
être	être	77.36	100.69	ê-tre	
papa	papa	77.16	259.01	pa-pa	
moitié	moitié	76.96	74.77	moi-tié	
an	an	76.76	866.58	an	
fauteuil	fauteuil	76.69	19.27	fau-teuil	
moments	moment	76.62	433.59	mo-ments	
repas	repas	76.62	48.53	re-pas	
foi	foi	76.49	54.06	foi	
nombre	nombre	76.28	40.16	nom-bre	
président	président	76.22	143.39	pré-si-dent	
trou	trou	76.08	90.72	trou	
cuir	cuir	76.08	14.25	cuir	
glace	glace	76.01	66.82	gla-ce	
fil	fil	75.95	64.92	fil	
réalité	réalité	75.95	53.77	réa-li-té	
vide	vide	75.74	17.82	vi-de	
camp	camp	75.61	114.93	camp	
garçons	garçon	75.54	251.51	gar-çons	
importance	importance	75.54	57.32	im-por-tan-ce	
métier	métier	75.54	55.03	mé-tier	
joues	joue	75.41	32.28	joues	
intérêt	intérêt	75.00	81.09	in-té-rêt	
parti	parti	75.00	46.59	par-ti	
faim	faim	74.93	128.04	faim	
neige	neige	74.93	39.34	nei-ge	
vêtements	vêtement	74.80	61.48	vê-te-ments	
chemise	chemise	74.59	43.66	che-mi-se	
pont	pont	74.59	56.43	pont	
visages	visage	74.46	141.23	vi-sa-ges	
armes	arme	74.39	220.22	ar-mes	
frères	frère	73.99	390.39	frè-res	
poste	poste	73.58	82.87	pos-te	
poussière	poussière	73.38	24.40	pous-siè-re	
journaux	journal	73.38	110.80	jour-naux	
troupes	troupe	73.11	30.93	trou-pes	
action	action	72.91	69.27	ac-tion	
chapeau	chapeau	72.91	54.91	cha-peau	
cinéma	cinéma	72.91	63.49	ci-né-ma	
taille	taille	72.84	43.17	tail-le	
malheur	malheur	72.84	56.89	mal-heur	
somme	somme	72.70	35.25	som-me	
absence	absence	72.50	22.86	ab-sen-ce	
nord	nord	72.30	50.38	nord	
plage	plage	72.03	48.19	pla-ge	
froid	froid	71.96	29.11	froid	
cesse	cesse	71.96	28.88	ces-se	
croix	croix	71.62	29.10	croix	
cri	cri	71.55	45.58	cri	
lampe	lampe	70.88	25.86	lam-pe	
secret	secret	70.81	103.49	se-cret	
mariage	mariage	70.68	167.39	ma-ria-ge	
trottoir	trottoir	70.54	10.87	trot-toir	
volonté	volonté	70.54	47.08	vo-lon-té	
pierres	pierre	70.47	67.17	pier-res	
fête	fête	70.41	155.97	fê-te	
bouteille	bouteille	70.41	57.24	bou-teil-le	
